t=2026-08-23T10:22:00+0530 lvl=info msg="no configuration paths supplied"
t=2026-08-23T10:22:00+0530 lvl=info msg="using configuration at default config path" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml"
t=2026-08-23T10:22:00+0530 lvl=info msg="open config file" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-08-23T10:22:00+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-23T10:22:00+0530 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-08-23T10:22:00+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-08-23T10:22:01+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=33ebce09b47b l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=81bf497e75bf l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=c1505eca9073 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=cf85b1d27086 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=1abf9b6ed4b5 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=269f8e84ade8 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=50538556db0c l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=a2faa1e006d4 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=502e62efb103 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=c9d3ea195035 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=0e3e020853bb l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=a87215286d5b l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=871c89ef4103 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:24+0530 lvl=info msg="join connections" obj=join id=7bf6cc31c6f7 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:24+0530 lvl=info msg="join connections" obj=join id=8222a176f128 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:24+0530 lvl=info msg="join connections" obj=join id=151777ce4dc4 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:24+0530 lvl=info msg="join connections" obj=join id=2d05eed65772 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:24+0530 lvl=info msg="join connections" obj=join id=18f8522aec12 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:24+0530 lvl=info msg="join connections" obj=join id=82aae1606e70 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:24+0530 lvl=info msg="join connections" obj=join id=f4ded2e6c077 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:25+0530 lvl=info msg="join connections" obj=join id=965eb9f91d2e l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:26+0530 lvl=info msg="join connections" obj=join id=6099af67eb9e l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52067
t=2026-08-23T10:23:31+0530 lvl=info msg="join connections" obj=join id=1d9305648132 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:32+0530 lvl=info msg="join connections" obj=join id=7d2a9e0777e9 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52081
t=2026-08-23T10:23:34+0530 lvl=info msg="join connections" obj=join id=eefab77091f1 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52085
t=2026-08-23T10:23:34+0530 lvl=info msg="join connections" obj=join id=069471aede20 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=061b9e3fde24 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=54191959d33f l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=bedc77ec8766 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=b75855386a18 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=2a0d1290e0bd l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=54732e32cf7e l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=6b9534b3570d l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=8a8917eca94e l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
